descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,source_file
MOUNTAIN SOILS,1962,250000,Agusan Del Sur,MOUNTAIN SOILS,Agusan_Soil_250thsnd_1,SOIL,45.0,0,0,KODA_Datasets - Agusan Soil Data.csv
CAMANSA SANDY CLAY LOAM,1962,250000,Agusan Del Sur,CAMANSA SANDY CLAY LOAM,Agusan_Soil_250thsnd_1,SOIL,210.0,0,0,KODA_Datasets - Agusan Soil Data.csv
MAMBUNAY SANDY LOAM,1962,250000,Agusan Del Sur,MAMBUNAY SANDY LOAM,Agusan_Soil_250thsnd_1,SOIL,890.0,0,0,KODA_Datasets - Agusan Soil Data.csv
CAMANSA SANDY,1962,250000,Agusan Del Sur,CAMANSA SANDY,Agusan_Soil_250thsnd_1,SOIL,363.0,0,0,KODA_Datasets - Agusan Soil Data.csv
KIDAPAWAN LOAM,1962,250000,Agusan Del Sur,KIDAPAWAN LOAM,Agusan_Soil_250thsnd_1,SOIL,888.0,0,0,KODA_Datasets - Agusan Soil Data.csv
BUTUAN LOAM,1962,250000,Agusan Del Sur,BUTUAN LOAM,Agusan_Soil_250thsnd_1,SOIL,887.0,0,0,KODA_Datasets - Agusan Soil Data.csv
BOLINAO SILT LOAM,1962,250000,Agusan Del Sur,BOLINAO SILT LOAM,Agusan_Soil_250thsnd_1,SOIL,886.0,0,0,KODA_Datasets - Agusan Soil Data.csv
MALALAG SILT LOAM,1962,250000,Agusan Del Sur,MALALAG SILT LOAM,Agusan_Soil_250thsnd_1,SOIL,359.0,0,0,KODA_Datasets - Agusan Soil Data.csv
HYDROSOL,1962,250000,Agusan Del Sur,HYDROSOL,Agusan_Soil_250thsnd_1,SOIL,1.0,0,0,KODA_Datasets - Agusan Soil Data.csv
KITCHARAO SILT LOAM,1962,250000,Agusan Del Sur,KITCHARAO SILT LOAM,Agusan_Soil_250thsnd_1,SOIL,889.0,0,0,KODA_Datasets - Agusan Soil Data.csv
ISABELA LOAM,1962,250000,Agusan Del Sur,ISABELA LOAM,Agusan_Soil_250thsnd_1,SOIL,752.0,0,0,KODA_Datasets - Agusan Soil Data.csv
UMINGAN CLAY LOAM,1962,250000,Agusan Del Sur,UMINGAN CLAY LOAM,Agusan_Soil_250thsnd_1,SOIL,168.0,0,0,KODA_Datasets - Agusan Soil Data.csv
S. MANUEL CLAY LOAM,1962,250000,Agusan Del Sur,S. MANUEL CLAY LOAM,Agusan_Soil_250thsnd_1,SOIL,236.0,0,0,KODA_Datasets - Agusan Soil Data.csv
SAN MANUEL LOAM,1962,250000,Agusan Del Sur,SAN MANUEL LOAM,Agusan_Soil_250thsnd_1,SOIL,190.0,0,0,KODA_Datasets - Agusan Soil Data.csv
RUBBLE LAND,1962,250000,Agusan Del Sur,RUBBLE LAND,Agusan_Soil_250thsnd_1,SOIL,366.0,0,0,KODA_Datasets - Agusan Soil Data.csv
CAMANSA CLAY LOAM,1962,250000,Agusan Del Sur,CAMANSA CLAY LOAM,Agusan_Soil_250thsnd_1,SOIL,575.0,0,0,KODA_Datasets - Agusan Soil Data.csv
,1962,250000,Agusan Del Sur,,Agusan_Soil_250thsnd_1,SOIL,752.0,0,0,KODA_Datasets - Agusan Soil Data.csv
ISABELA CLAY,1962,250000,Agusan Del Sur,ISABELA CLAY,Agusan_Soil_250thsnd_1,SOIL,256.0,0,0,KODA_Datasets - Agusan Soil Data.csv
,1962,250000,Agusan Del Sur,,Agusan_Soil_250thsnd_1,SOIL,686.0,0,0,KODA_Datasets - Agusan Soil Data.csv
ALIMODIAN LOAM,1962,250000,Agusan Del Sur,ALIMODIAN LOAM,Agusan_Soil_250thsnd_1,SOIL,885.0,0,0,KODA_Datasets - Agusan Soil Data.csv
QUINGUA SILT LOAM,1962,250000,Agusan Del Sur,QUINGUA SILT LOAM,Agusan_Soil_250thsnd_1,SOIL,5.0,0,0,KODA_Datasets - Agusan Soil Data.csv
CABANGAN CLAY,1962,250000,Agusan Del Sur,CABANGAN CLAY,Agusan_Soil_250thsnd_1,SOIL,362.0,0,0,KODA_Datasets - Agusan Soil Data.csv
,1988,250000,Bukidnon,MOUNTAIN SOILS UNDIFFERENCES,Bukiddon_Soil_250thsnd_1,SOIL,45.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,BOINAO CLAY,Bukiddon_Soil_250thsnd_1,SOIL,153.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,ALIMODIAN CLAY,Bukiddon_Soil_250thsnd_1,SOIL,327.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,JASAAN CLAY,Bukiddon_Soil_250thsnd_1,SOIL,317.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,ADTUYON CLAY,Bukiddon_Soil_250thsnd_1,SOIL,323.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,LA CASTELLANA CLAY,Bukiddon_Soil_250thsnd_1,SOIL,305.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,KIDAPOWAN CLAYLOAM,Bukiddon_Soil_250thsnd_1,SOIL,211.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,MACOLOD CLAY,Bukiddon_Soil_250thsnd_1,SOIL,325.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,MAAPAG CLAY,Bukiddon_Soil_250thsnd_1,SOIL,328.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,SAN MIGUEL SILT LOAM,Bukiddon_Soil_250thsnd_1,SOIL,82.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,ADTUYON CLAY STONY PHASE,Bukiddon_Soil_250thsnd_1,SOIL,324.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,ROUGH BROKEN LAND,Bukiddon_Soil_250thsnd_1,SOIL,326.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,CALAUIG CLAY,Bukiddon_Soil_250thsnd_1,SOIL,330.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
,1988,250000,Bukidnon,FARAGON CLAY,Bukiddon_Soil_250thsnd_1,SOIL,132.0,0,0,KODA_Datasets - Bukidnon Soil Data.csv
PARANG CLAY LOAM,1947,250000,Cotabato,PARANG CLAY LOAM,CotabatoProvince_SoilMap,SOIL,431.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
TAMONTAKA CLAY,1947,250000,Cotabato,TAMONTAKA CLAY,CotabatoProvince_SoilMap,SOIL,435.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
MOUNTAIN SOILS,1947,250000,Cotabato,MOUNTAIN SOILS,CotabatoProvince_SoilMap,SOIL,45.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
MALALOG LOAM,1947,250000,Cotabato,MALALOG LOAM,CotabatoProvince_SoilMap,SOIL,213.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
MADUNGO CLAY LOAM,1947,250000,Cotabato,MADUNGO CLAY LOAM,CotabatoProvince_SoilMap,SOIL,212.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
NUPOL SANDY LOAM,1947,250000,Cotabato,NUPOL SANDY LOAM,CotabatoProvince_SoilMap,SOIL,439.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
MALALAG FINE SANDY LOAM,1947,250000,Cotabato,MALALAG FINE SANDY LOAM,CotabatoProvince_SoilMap,SOIL,442.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
DADIANGAS SANDY LOAM,1947,250000,Cotabato,DADIANGAS SANDY LOAM,CotabatoProvince_SoilMap,SOIL,437.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
MAKAR LOAM,1947,250000,Cotabato,MAKAR LOAM,CotabatoProvince_SoilMap,SOIL,444.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
TUPI FINE SANDY LOAM,1947,250000,Cotabato,TUPI FINE SANDY LOAM,CotabatoProvince_SoilMap,SOIL,270.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
KIDAPAWAN SANDY CLAY LOAM,1947,250000,Cotabato,KIDAPAWAN SANDY CLAY LOAM,CotabatoProvince_SoilMap,SOIL,583.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
KIDAPOWAN CLAY LOAM,1947,250000,Cotabato,KIDAPOWAN CLAY LOAM,CotabatoProvince_SoilMap,SOIL,211.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
"SOILS, UNDIFFERENTIATED",1947,250000,Cotabato,"SOILS, UNDIFFERENTIATED",CotabatoProvince_SoilMap,SOIL,433.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
TIMAGA CLAY LOAM,1947,250000,Cotabato,TIMAGA CLAY LOAM,CotabatoProvince_SoilMap,SOIL,630.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
HYDROSOL,1947,250000,Cotabato,HYDROSOL,CotabatoProvince_SoilMap,SOIL,1.0,0,0,KODA_Datasets - Cotabato Soil Data.csv
