mag,longitude,latitude,depth,log_soil_polygon_hectares,month_sin,month_cos,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,day,tsunami,magtype,aez,soil_series_grouped,soil_desc_grouped,depth_category
6.48,123.56,10.078,15.0,12.814507180317696,-0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,11,0,mw,Uplands,Faraon,Faraon clay (Steep phase),Shallow
7.06,126.188,8.316,35.0,15.784614769658228,-0.4999999999999997,-0.8660254037844388,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,20,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
6.59,122.541,13.359,15.0,13.57646767531825,-0.5000000000000004,0.8660254037844384,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,24,0,mw,Uplands,Faraon,Faraon clay,Shallow
6.2,124.002,12.688,15.0,10.334098221961478,-0.5000000000000004,0.8660254037844384,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,8,0,mw,Highlands,Other,Other,Shallow
6.27,125.725,8.21,15.0,15.784614769658228,0.8660254037844387,-0.4999999999999998,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,18,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
6.9,126.059,6.992,35.0,12.063087094829552,0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,7,0,mw,Lowlands,San Manuel,San Manuel silty clay loam,Shallow
6.6,124.214,6.864,35.0,15.784614769658228,-1.0,-1.8369701987210297e-16,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,27,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
6.42,124.569,7.668,15.0,15.784614769658228,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,13,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
7.18,124.873,7.641,15.0,11.999075729469858,1.0,6.123233995736766e-17,0.0,1.0,-0.9749279121818236,-0.2225209339563146,3,0,mw,Uplands,Kidapawan,Other,Shallow
8.12,126.167,6.625,15.0,12.804010321873838,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.7818314824680298,0.6234898018587336,15,0,mw,Uplands,Malalag,Malalag loam,Shallow
5.95,124.917,11.025,15.0,11.429194573104215,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,16,0,mw,Highlands,Other,Other,Shallow
6.23,124.117,7.054,20.0,11.350792247434853,-0.8660254037844386,0.5000000000000001,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,28,0,mw,Uplands,Other,Other,Shallow
6.82,123.044,9.798,15.0,14.498784339188246,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,5,0,mw,Highlands,Rough mountain land,Rough mountain land,Shallow
6.15,123.113,9.513,15.0,11.537523180989771,0.49999999999999994,-0.8660254037844387,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,5,0,mw,Uplands,Other,Other,Shallow
6.48,125.695,8.945,20.0,12.098146706162929,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,27,0,mw,Highlands,Camansa,Camansa clay,Shallow
5.98,124.857,6.176,15.0,10.017125250477738,0.49999999999999994,0.8660254037844387,0.0,1.0,0.7818314824680298,0.6234898018587336,19,0,mw,Uplands,Other,Other,Shallow
5.91,124.271,7.644,15.0,11.308935818157943,-0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479,0.0,1.0,11,0,mw,Uplands,Other,Other,Shallow
6.24,119.76,15.993,35.0,12.314983738588817,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,30,0,mw,Uplands,Bolinao,Bolinao clay loam,Shallow
6.53,126.513,7.726,35.0,12.063087094829552,0.8660254037844386,0.5000000000000001,0.258819045102521,-0.9659258262890682,0.0,1.0,6,0,mw,Lowlands,San Manuel,San Manuel silty clay loam,Shallow
5.68,124.909,10.348,15.0,10.953307018691023,1.0,6.123233995736766e-17,0.0,1.0,0.7818314824680298,0.6234898018587336,13,0,mw,Uplands,Other,Other,Shallow
6.99,121.145,12.856,25.0,14.498784339188246,1.2246467991473532e-16,-1.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,15,0,mw,Highlands,Rough mountain land,Rough mountain land,Shallow
6.73,120.947,12.759,15.0,14.498784339188246,1.2246467991473532e-16,-1.0,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,16,0,mw,Highlands,Rough mountain land,Rough mountain land,Shallow
5.93,120.316,14.999,15.0,12.378380555427208,-0.5000000000000004,0.8660254037844384,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,22,0,mw,Highlands,Antipolo,Antipolo clay,Shallow
7.42,124.245,6.707,25.0,15.784614769658228,-2.4492935982947064e-16,1.0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,19,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
6.77,123.345,7.712,15.0,12.191701404435882,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,28,0,mw,Uplands,Adtuyon,Other,Shallow
6.42,120.812,16.51,25.0,9.06609675190403,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,16,0,mw,Highlands,Other,Other,Shallow
5.66,121.248,16.625,15.0,11.505278888558642,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,16,0,mw,Lowlands,Other,Other,Shallow
