descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,1962,250000,Agusan del Sur                                    ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,45,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,1962,250000,Agusan del Sur                                    ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,45,0,0,,
CAMANSA SANDY CLAY LOAM                                                                                                                                                                                                                                       ,1962,250000,Agusan del Sur                                    ,CAMANSA SANDY CLAY LOAM                                                                                                                                                                                                                                       ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,210,0,0,,
CAMANSA SANDY CLAY LOAM                                                                                                                                                                                                                                       ,1962,250000,Agusan del Sur                                    ,CAMANSA SANDY CLAY LOAM                                                                                                                                                                                                                                       ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,210,0,0,,
MAMBUNAY SANDY LOAM                                                                                                                                                                                                                                           ,1962,250000,Agusan del Sur                                    ,MAMBUNAY SANDY LOAM                                                                                                                                                                                                                                           ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,890,0,0,,
CAMANSA SANDY                                                                                                                                                                                                                                                 ,1962,250000,Agusan del Sur                                    ,CAMANSA SANDY                                                                                                                                                                                                                                                 ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,363,0,0,,
MAMBUNAY SANDY LOAM                                                                                                                                                                                                                                           ,1962,250000,Agusan del Sur                                    ,MAMBUNAY SANDY LOAM                                                                                                                                                                                                                                           ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,890,0,0,,
KIDAPAWAN LOAM                                                                                                                                                                                                                                                ,1962,250000,Agusan del Sur                                    ,KIDAPAWAN LOAM                                                                                                                                                                                                                                                ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,888,0,0,,
BUTUAN LOAM                                                                                                                                                                                                                                                   ,1962,250000,Agusan del Sur                                    ,BUTUAN LOAM                                                                                                                                                                                                                                                   ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,887,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,1962,250000,Agusan del Sur                                    ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,45,0,0,,
KIDAPAWAN LOAM                                                                                                                                                                                                                                                ,1962,250000,Agusan del Sur                                    ,KIDAPAWAN LOAM                                                                                                                                                                                                                                                ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,888,0,0,,
BOLINAO SILT LOAM                                                                                                                                                                                                                                             ,1962,250000,Agusan del Sur                                    ,BOLINAO SILT LOAM                                                                                                                                                                                                                                             ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,886,0,0,,
KIDAPAWAN LOAM                                                                                                                                                                                                                                                ,1962,250000,Agusan del Sur                                    ,KIDAPAWAN LOAM                                                                                                                                                                                                                                                ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,888,0,0,,
MALALAG SILT LOAM                                                                                                                                                                                                                                             ,1962,250000,Agusan del Sur                                    ,MALALAG SILT LOAM                                                                                                                                                                                                                                             ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,359,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1962,250000,Agusan del Sur                                    ,HYDROSOL                                                                                                                                                                                                                                                      ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,1,0,0,,
KITCHARAO SILT LOAM                                                                                                                                                                                                                                           ,1962,250000,Agusan del Sur                                    ,KITCHARAO SILT LOAM                                                                                                                                                                                                                                           ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,889,0,0,,
KITCHARAO SILT LOAM                                                                                                                                                                                                                                           ,1962,250000,Agusan del Sur                                    ,KITCHARAO SILT LOAM                                                                                                                                                                                                                                           ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,889,0,0,,
BOLINAO SILT LOAM                                                                                                                                                                                                                                             ,1962,250000,Agusan del Sur                                    ,BOLINAO SILT LOAM                                                                                                                                                                                                                                             ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,886,0,0,,
BOLINAO SILT LOAM                                                                                                                                                                                                                                             ,1962,250000,Agusan del Sur                                    ,BOLINAO SILT LOAM                                                                                                                                                                                                                                             ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,886,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1962,250000,Agusan del Sur                                    ,HYDROSOL                                                                                                                                                                                                                                                      ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,1,0,0,,
ISABELA LOAM                                                                                                                                                                                                                                                  ,1962,250000,Agusan del Sur                                    ,ISABELA LOAM                                                                                                                                                                                                                                                  ,Agusan_Soil_250thsnd_1                                                                                                                                                                                                                                        ,SOIL                                              ,752,0,0,,
