descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
                                                                                                                                                                                                                                                              ,1988,250000,BUKIDNON                                          ,MOUNTAIN SOILS UNDIFFERENCES                                                                                                                                                                                                                                  ,Bukiddon_Soil_250thsnd_1                                                                                                                                                                                                                                      ,SOIL                                              ,45,0,0,,
                                                                                                                                                                                                                                                              ,1988,250000,BUKIDNON                                          ,BOINAO CLAY                                                                                                                                                                                                                                                   ,Bukiddon_Soil_250thsnd_1                                                                                                                                                                                                                                      ,SOIL                                              ,153,0,0,,
                                                                                                                                                                                                                                                              ,1988,250000,BUKIDNON                                          ,MOUNTAIN SOILS UNDIFFERENCES                                                                                                                                                                                                                                  ,Bukiddon_Soil_250thsnd_1                                                                                                                                                                                                                                      ,SOIL                                              ,45,0,0,,
                                                                                                                                                                                                                                                              ,1988,250000,BUKIDNON                                          ,ALIMODIAN CLAY                                                                                                                                                                                                                                                ,Bukiddon_Soil_250thsnd_1                                                                                                                                                                                                                                      ,SOIL                                              ,327,0,0,,
                                                                                                                                                                                                                                                              ,1988,250000,BUKIDNON                                          ,JASAAN CLAY                                                                                                                                                                                                                                                   ,Bukiddon_Soil_250thsnd_1                                                                                                                                                                                                                                      ,SOIL                                              ,317,0,0,,
                                                                                                                                                                                                                                                              ,1988,250000,BUKIDNON                                          ,ALIMODIAN CLAY                                                                                                                                                                                                                                                ,Bukiddon_Soil_250thsnd_1                                                                                                                                                                                                                                      ,SOIL                                              ,327,0,0,,
                                                                                                                                                                                                                                                              ,1988,250000,BUKIDNON                                          ,MOUNTAIN SOILS UNDIFFERENCES                                                                                                                                                                                                                                  ,Bukiddon_Soil_250thsnd_1                                                                                                                                                                                                                                      ,SOIL                                              ,45,0,0,,
                                                                                                                                                                                                                                                              ,1988,250000,BUKIDNON                                          ,ADTUYON CLAY                                                                                                                                                                                                                                                  ,Bukiddon_Soil_250thsnd_1                                                                                                                                                                                                                                      ,SOIL                                              ,323,0,0,,
                                                                                                                                                                                                                                                              ,1988,250000,BUKIDNON                                          ,JASAAN CLAY                                                                                                                                                                                                                                                   ,Bukiddon_Soil_250thsnd_1                                                                                                                                                                                                                                      ,SOIL                                              ,317,0,0,,
                                                                                                                                                                                                                                                              ,1988,250000,BUKIDNON                                          ,MOUNTAIN SOILS UNDIFFERENCES                                                                                                                                                                                                                                  ,Bukiddon_Soil_250thsnd_1                                                                                                                                                                                                                                      ,SOIL                                              ,45,0,0,,
                                                                                                                                                                                                                                                              ,1988,250000,BUKIDNON                                          ,LA CASTELLANA CLAY                                                                                                                                                                                                                                            ,Bukiddon_Soil_250thsnd_1                                                                                                                                                                                                                                      ,SOIL                                              ,305,0,0,,
