descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
PARANG CLAY LOAM                                                                                                                                                                                                                                              ,1947,250000,Cotabato                                          ,PARANG CLAY LOAM                                                                                                                                                                                                                                              ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,431,0,0,,
TAMONTAKA CLAY                                                                                                                                                                                                                                                ,1947,250000,Cotabato                                          ,TAMONTAKA CLAY                                                                                                                                                                                                                                                ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,435,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,1947,250000,Cotabato                                          ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,45,0,0,,
MALALOG LOAM                                                                                                                                                                                                                                                  ,1947,250000,Cotabato                                          ,MALALOG LOAM                                                                                                                                                                                                                                                  ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,213,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,1947,250000,Cotabato                                          ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,45,0,0,,
MADUNGO CLAY LOAM                                                                                                                                                                                                                                             ,1947,250000,Cotabato                                          ,MADUNGO CLAY LOAM                                                                                                                                                                                                                                             ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,212,0,0,,
NUPOL SANDY LOAM                                                                                                                                                                                                                                              ,1947,250000,Cotabato                                          ,NUPOL SANDY LOAM                                                                                                                                                                                                                                              ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,439,0,0,,
MALALAG FINE SANDY LOAM                                                                                                                                                                                                                                       ,1947,250000,Cotabato                                          ,MALALAG FINE SANDY LOAM                                                                                                                                                                                                                                       ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,442,0,0,,
DADIANGAS SANDY LOAM                                                                                                                                                                                                                                          ,1947,250000,Cotabato                                          ,DADIANGAS SANDY LOAM                                                                                                                                                                                                                                          ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,437,0,0,,
MAKAR LOAM                                                                                                                                                                                                                                                    ,1947,250000,Cotabato                                          ,MAKAR LOAM                                                                                                                                                                                                                                                    ,CotabatoProvince_SoilMap                                                                                                                                                                                                                                      ,SOIL                                              ,444,0,0,,
