descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,oid_,class_1,category_1,maptype_1,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
                                                                                                                                                                                                                                                              ,1947,50000,Davao Oriental                                    ,SAN MANUEL SILTY CLAY LOAM                                                                                                                                                                                                                                    ,Davao_SoilMap                                                                                                                                                                                                                                                 ,SOIL                                              ,94,0,0,94,94,SAN MANUEL SILTY CLAY LOAM                                                                                                                                                                                                                                    ,SOIL                                                                                                                                                                                                                                                          ,,
                                                                                                                                                                                                                                                              ,1947,50000,Davao Oriental                                    ,SAN MANUEL SILTY CLAY LOAM                                                                                                                                                                                                                                    ,Davao_SoilMap                                                                                                                                                                                                                                                 ,SOIL                                              ,94,0,0,94,94,SAN MANUEL SILTY CLAY LOAM                                                                                                                                                                                                                                    ,SOIL                                                                                                                                                                                                                                                          ,,
                                                                                                                                                                                                                                                              ,1947,50000,Davao Oriental                                    ,SAN MANUEL SILTY CLAY LOAM                                                                                                                                                                                                                                    ,Davao_SoilMap                                                                                                                                                                                                                                                 ,SOIL                                              ,94,0,0,94,94,SAN MANUEL SILTY CLAY LOAM                                                                                                                                                                                                                                    ,SOIL                                                                                                                                                                                                                                                          ,,
                                                                                                                                                                                                                                                              ,1947,50000,Davao Oriental                                    ,SAN MANUEL SILTY CLAY LOAM                                                                                                                                                                                                                                    ,Davao_SoilMap                                                                                                                                                                                                                                                 ,SOIL                                              ,94,0,0,94,94,SAN MANUEL SILTY CLAY LOAM                                                                                                                                                                                                                                    ,SOIL                                                                                                                                                                                                                                                          ,,
                                                                                                                                                                                                                                                              ,1947,50000,Davao Oriental                                    ,MALALOG LOAM                                                                                                                                                                                                                                                  ,Davao_SoilMap                                                                                                                                                                                                                                                 ,SOIL                                              ,213,0,0,195,213,MALALOG LOAM                                                                                                                                                                                                                                                  ,SOIL                                                                                                                                                                                                                                                          ,,
                                                                                                                                                                                                                                                              ,1947,50000,Davao Oriental                                    ,MATINA CLAY LOAM                                                                                                                                                                                                                                              ,Davao_SoilMap                                                                                                                                                                                                                                                 ,SOIL                                              ,206,0,0,495,206,MATINA CLAY LOAM                                                                                                                                                                                                                                              ,SOIL                                                                                                                                                                                                                                                          ,,
                                                                                                                                                                                                                                                              ,1947,50000,Davao Oriental                                    ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Davao_SoilMap                                                                                                                                                                                                                                                 ,SOIL                                              ,45,0,0,45,45,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,SOIL                                                                                                                                                                                                                                                          ,,
                                                                                                                                                                                                                                                              ,1947,50000,Davao Oriental                                    ,BOLINAO CLAY                                                                                                                                                                                                                                                  ,Davao_SoilMap                                                                                                                                                                                                                                                 ,SOIL                                              ,153,0,0,153,153,BOLINAO CLAY                                                                                                                                                                                                                                                  ,SOIL                                                                                                                                                                                                                                                          ,,
                                                                                                                                                                                                                                                              ,1947,50000,Davao Oriental                                    ,BOLINAO CLAY                                                                                                                                                                                                                                                  ,Davao_SoilMap                                                                                                                                                                                                                                                 ,SOIL                                              ,153,0,0,153,153,BOLINAO CLAY                                                                                                                                                                                                                                                  ,SOIL                                                                                                                                                                                                                                                          ,,
                                                                                                                                                                                                                                                              ,1947,50000,Davao Oriental                                    ,MATINA CLAY LOAM                                                                                                                                                                                                                                              ,Davao_SoilMap                                                                                                                                                                                                                                                 ,SOIL                                              ,206,0,0,495,206,MATINA CLAY LOAM                                                                                                                                                                                                                                              ,SOIL                                                                                                                                                                                                                                                          ,,
