descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
ADTUYON CLAY LOAM                                                                                                                                                                                                                                             ,1972,250000,Misamis Occidental                                ,ADTUYON CLAY LOAM                                                                                                                                                                                                                                             ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,573,0,0,,
AOTUYON LOAM                                                                                                                                                                                                                                                  ,1972,250000,Misamis Occidental                                ,AOTUYON LOAM                                                                                                                                                                                                                                                  ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,523,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
KABACAN CLAY LOAM                                                                                                                                                                                                                                             ,1972,250000,Misamis Occidental                                ,KABACAN CLAY LOAM                                                                                                                                                                                                                                             ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,453,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
BANTOG CLAY                                                                                                                                                                                                                                                   ,1972,250000,Misamis Occidental                                ,BANTOG CLAY                                                                                                                                                                                                                                                   ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,228,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
CAMIGUIN CLAY                                                                                                                                                                                                                                                 ,1972,250000,Misamis Occidental                                ,CAMIGUIN CLAY                                                                                                                                                                                                                                                 ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,579,0,0,,
ADUTYON CLAY                                                                                                                                                                                                                                                  ,1972,250000,Misamis Occidental                                ,ADUTYON CLAY                                                                                                                                                                                                                                                  ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,323,0,0,,
CASTILLA CLAY LOAM                                                                                                                                                                                                                                            ,1972,250000,Misamis Occidental                                ,CASTILLA CLAY LOAM                                                                                                                                                                                                                                            ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,244,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
BALIANGOA CLAY LOAM                                                                                                                                                                                                                                           ,1972,250000,Misamis Occidental                                ,BALIANGOA CLAY LOAM                                                                                                                                                                                                                                           ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,816,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,1972,250000,Misamis Occidental                                ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,45,0,0,,
GUIMBALAON CLAY LOAM                                                                                                                                                                                                                                          ,1972,250000,Misamis Occidental                                ,GUIMBALAON CLAY LOAM                                                                                                                                                                                                                                          ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,280,0,0,,
PULUPANDAN SANDY LOAM                                                                                                                                                                                                                                         ,1972,250000,Misamis Occidental                                ,PULUPANDAN SANDY LOAM                                                                                                                                                                                                                                         ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,255,0,0,,
QUINGUA SILT LOAM                                                                                                                                                                                                                                             ,1972,250000,Misamis Occidental                                ,QUINGUA SILT LOAM                                                                                                                                                                                                                                             ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,5,0,0,,
BEACH SAND                                                                                                                                                                                                                                                    ,1972,250000,Misamis Occidental                                ,BEACH SAND                                                                                                                                                                                                                                                    ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,118,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
KABACAN CLAY LOAM                                                                                                                                                                                                                                             ,1972,250000,Misamis Occidental                                ,KABACAN CLAY LOAM                                                                                                                                                                                                                                             ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,453,0,0,,
GUIMBALAON CLAY LOAM                                                                                                                                                                                                                                          ,1972,250000,Misamis Occidental                                ,GUIMBALAON CLAY LOAM                                                                                                                                                                                                                                          ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,280,0,0,,
BANTOG CLAY                                                                                                                                                                                                                                                   ,1972,250000,Misamis Occidental                                ,BANTOG CLAY                                                                                                                                                                                                                                                   ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,228,0,0,,
JASOAN CLAY LOAM                                                                                                                                                                                                                                              ,1972,250000,Misamis Occidental                                ,JASOAN CLAY LOAM                                                                                                                                                                                                                                              ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,318,0,0,,
PULUPANDAN SANDY LOAM                                                                                                                                                                                                                                         ,1972,250000,Misamis Occidental                                ,PULUPANDAN SANDY LOAM                                                                                                                                                                                                                                         ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,255,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
CULIS SANDY CLAY LOAM                                                                                                                                                                                                                                         ,1972,250000,Misamis Occidental                                ,CULIS SANDY CLAY LOAM                                                                                                                                                                                                                                         ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,672,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
BEACH SAND                                                                                                                                                                                                                                                    ,1972,250000,Misamis Occidental                                ,BEACH SAND                                                                                                                                                                                                                                                    ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,118,0,0,,
QUINGUA SILT LOAM                                                                                                                                                                                                                                             ,1972,250000,Misamis Occidental                                ,QUINGUA SILT LOAM                                                                                                                                                                                                                                             ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,5,0,0,,
BEACH SAND                                                                                                                                                                                                                                                    ,1972,250000,Misamis Occidental                                ,BEACH SAND                                                                                                                                                                                                                                                    ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,118,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
BALIANGOA CLAY LOAM                                                                                                                                                                                                                                           ,1972,250000,Misamis Occidental                                ,BALIANGOA CLAY LOAM                                                                                                                                                                                                                                           ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,816,0,0,,
BALIANGOA CLAY LOAM                                                                                                                                                                                                                                           ,1972,250000,Misamis Occidental                                ,BALIANGOA CLAY LOAM                                                                                                                                                                                                                                           ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,816,0,0,,
GUIMBALAON CLAY LOAM STONY PHASE                                                                                                                                                                                                                              ,1972,250000,Misamis Occidental                                ,GUIMBALAON CLAY LOAM STONY PHASE                                                                                                                                                                                                                              ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,278,0,0,,
CULIS SANDY CLAY LOAM                                                                                                                                                                                                                                         ,1972,250000,Misamis Occidental                                ,CULIS SANDY CLAY LOAM                                                                                                                                                                                                                                         ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,672,0,0,,
MABINBI SANDY CLAY LOAM                                                                                                                                                                                                                                       ,1972,250000,Misamis Occidental                                ,MABINBI SANDY CLAY LOAM                                                                                                                                                                                                                                       ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,815,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1972,250000,Misamis Occidental                                ,HYDROSOL                                                                                                                                                                                                                                                      ,Misamis_Oc_Soil_250thsnd_1                                                                                                                                                                                                                                    ,SOIL                                              ,1,0,0,,
