descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Unknown   ,50000,Misamis Oriental                                  ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,45,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Unknown   ,50000,Misamis Oriental                                  ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,45,0,0,,
JASOAN CLAY                                                                                                                                                                                                                                                   ,Unknown   ,50000,Misamis Oriental                                  ,JASOAN CLAY                                                                                                                                                                                                                                                   ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,317,0,0,,
SAN MANUEL LOAM                                                                                                                                                                                                                                               ,Unknown   ,50000,Misamis Oriental                                  ,SAN MANUEL LOAM                                                                                                                                                                                                                                               ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,190,0,0,,
JASOAN-BOLINAO COMPLEX                                                                                                                                                                                                                                        ,Unknown   ,50000,Misamis Oriental                                  ,JASOAN-BOLINAO COMPLEX                                                                                                                                                                                                                                        ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,321,0,0,,
UMINGAN CLAY LOAM                                                                                                                                                                                                                                             ,Unknown   ,50000,Misamis Oriental                                  ,UMINGAN CLAY LOAM                                                                                                                                                                                                                                             ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,168,0,0,,
UMINGAN CLAY LOAM                                                                                                                                                                                                                                             ,Unknown   ,50000,Misamis Oriental                                  ,UMINGAN CLAY LOAM                                                                                                                                                                                                                                             ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,168,0,0,,
JASOAN-BOLINAO COMPLEX                                                                                                                                                                                                                                        ,Unknown   ,50000,Misamis Oriental                                  ,JASOAN-BOLINAO COMPLEX                                                                                                                                                                                                                                        ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,321,0,0,,
NOT SHOWN IN LEGEND                                                                                                                                                                                                                                           ,Unknown   ,50000,Misamis Oriental                                  ,NOT SHOWN IN LEGEND                                                                                                                                                                                                                                           ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,116,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Unknown   ,50000,Misamis Oriental                                  ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,45,0,0,,
SAN MANUEL LOAM                                                                                                                                                                                                                                               ,Unknown   ,50000,Misamis Oriental                                  ,SAN MANUEL LOAM                                                                                                                                                                                                                                               ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,190,0,0,,
MANBAJOA CLAY                                                                                                                                                                                                                                                 ,Unknown   ,50000,Misamis Oriental                                  ,MANBAJOA CLAY                                                                                                                                                                                                                                                 ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,315,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Unknown   ,50000,Misamis Oriental                                  ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,45,0,0,,
SAN MANUEL LOAM                                                                                                                                                                                                                                               ,Unknown   ,50000,Misamis Oriental                                  ,SAN MANUEL LOAM                                                                                                                                                                                                                                               ,MisamisOriental_SoilMap                                                                                                                                                                                                                                       ,Soil                                              ,190,0,0,,
