"SOILDESC,C,60","AEZ,C,10","SoilSeries,C,30","Hectares,N,19,11",,Source: https://www.bswm.da.gov.ph/bswm-maps/?
Water body (includes no data),,,279097.345,,Feel ko mas useful yung data na nasa mismong site
Abatan clay loam,Highlands,Abatan,12787.40642,,
Aborlan loam,Uplands,Aborlan,17412.90092,,
Adtuyon clay,Uplands,Adtuyon,230257.4347,,
Adtuyon clay loam,Uplands,Adtuyon,148709.1723,,
Adtuyon clay stony phase,Uplands,Adtuyon,14974.85103,,
Adtuyon La Castellana complex,Uplands,Adtuyon,13428.57143,,
Adtuyon loam,Uplands,Adtuyon,197145.3065,,
Alaminos clay,Uplands,Alaminos,57942.46809,,
Alaminos clay loam,Uplands,Alaminos,177406.3942,,
Alaminos loam,Uplands,Alaminos,96752.48868,,
Alaminos sandy loam,Uplands,Alaminos,21551.07961,,
Alaminos silty clay loam,Uplands,Alaminos,21593.41357,,
Alaminos soil (undifferentiated),Uplands,Alaminos,46249.61507,,
Alimodian - Barotac complex,Highlands,Alimodian,8940.292025,,
Alimodian clay,Highlands,Alimodian,33716.66064,,
Alimodian clay loam,Highlands,Alimodian,478634.1831,,
Alimodian sandy clay,Highlands,Alimodian,103558.2767,,
Alimodian sandy clay loam,Highlands,Alimodian,3110.047362,,
Alimodian sandy loam,Highlands,Alimodian,116522.0401,,
Alimodian silt loam,Highlands,Alimodian,2995.835859,,
"Alimodian soils, undifferentiated",Highlands,Alimodian,48691.36234,,
Ambassador silt loam,Highlands,Ambassador,9987.649276,,
Anao-aon silty clay,Lowlands,Anao-aon,9352.482039,,
Angeles sand,Lowlands,Angeles,103215.2649,,
Angeles sandy loam,Lowlands,Angeles,5101.6775,,
Angeles soil (undifferentiated,Lowlands,Angeles,33246.93385,,
Annam clay,Uplands,Annam,35101.56209,,
Annam clay loam,Uplands,Annam,512840.0141,,
Annam loam gravelly phase,Uplands,Annam,97517.61942,,
Annam sandy clay loam,Uplands,Annam,10754.35469,,
Annam silt loam,Uplands,Annam,12776.77359,,
Antipolo - Alimoidan - Luisiana complex,Highlands,Antipolo,95059.8003,,
Antipolo clay,Highlands,Antipolo,237607.7175,,
Antipolo clay loam,Highlands,Antipolo,66158.27533,,
Antipolo sandy clay,Highlands,Antipolo,89426.56057,,
Antipolo soils (undiferrentiated),Highlands,Antipolo,99029.43125,,
Arayat clay loam,Highlands,Arayat,6808.071127,,
Arayat sandy clay loam,Highlands,Arayat,1447.487645,,
Aroman clay loam,Uplands,Aroman,81581.29471,,
Atok clay loam,Highlands,Atok,1786.747504,,
Babuyan clay,Lowlands,Babuyan,6526.886734,,
Babuyan silty clay,Lowlands,Babuyan,19730.9199,,
Bad-as sandy loam,Highlands,Bad-as,6025.626187,,
Bago clay loam,Lowlands,Bago,14643.28043,,
Bago loam,Lowlands,Bago,2883.94437,,
Bago sandy clay loam,Lowlands,Bago,99237.25843,,
Bago sandy loam,Lowlands,Bago,14733.69251,,
Baguio clay loam,Highlands,Baguio,77644.24247,,
Bakakeng sandy loam,Highlands,Bakakeng,12740.15831,,
Balakbak gravelly clay loam,Highlands,Balakbak,756.1375371,,
Balanacan clay,Highlands,Balanacan,6113.935232,,
Baler silty clay loam,Lowlands,Baler,34385.75761,,
Baliangao clay loam,Uplands,Baliangao,1926.990202,,
