descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
KABATOHAN LOAM                                                                                                                                                                                                                                                ,Not Avail.,250000,Surigao del Norte                                 ,KABATOHAN LOAM                                                                                                                                                                                                                                                ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1002,0,0,,
DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,Not Avail.,250000,Surigao del Norte                                 ,DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1020,0,0,,
BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,Not Avail.,250000,Surigao del Norte                                 ,BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,154,0,0,,
DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,Not Avail.,250000,Surigao del Norte                                 ,DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1020,0,0,,
BOLINAO CLAY                                                                                                                                                                                                                                                  ,Not Avail.,250000,Surigao del Norte                                 ,BOLINAO CLAY                                                                                                                                                                                                                                                  ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,153,0,0,,
DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,Not Avail.,250000,Surigao del Norte                                 ,DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1020,0,0,,
KABATOHAN LOAM                                                                                                                                                                                                                                                ,Not Avail.,250000,Surigao del Norte                                 ,KABATOHAN LOAM                                                                                                                                                                                                                                                ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1002,0,0,,
Not Avail.                                                                                                                                                                                                                                                    ,Not Avail.,250000,Surigao del Norte                                 ,Not Avail.                                                                                                                                                                                                                                                    ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,nonoc          ,0,0,,
SISON CLAY LOAM                                                                                                                                                                                                                                               ,Not Avail.,250000,Surigao del Norte                                 ,SISON CLAY LOAM                                                                                                                                                                                                                                               ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1008,0,0,,
KABATOHAN LOAM                                                                                                                                                                                                                                                ,Not Avail.,250000,Surigao del Norte                                 ,KABATOHAN LOAM                                                                                                                                                                                                                                                ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1002,0,0,,
ROCK LAND                                                                                                                                                                                                                                                     ,Not Avail.,250000,Surigao del Norte                                 ,ROCK LAND                                                                                                                                                                                                                                                     ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,599,0,0,,
SISON CLAY LOAM                                                                                                                                                                                                                                               ,Not Avail.,250000,Surigao del Norte                                 ,SISON CLAY LOAM                                                                                                                                                                                                                                               ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1008,0,0,,
SISON CLAY LOAM                                                                                                                                                                                                                                               ,Not Avail.,250000,Surigao del Norte                                 ,SISON CLAY LOAM                                                                                                                                                                                                                                               ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1008,0,0,,
SISON CLAY LOAM                                                                                                                                                                                                                                               ,Not Avail.,250000,Surigao del Norte                                 ,SISON CLAY LOAM                                                                                                                                                                                                                                               ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1008,0,0,,
MALIMONO CLAY LOAM                                                                                                                                                                                                                                            ,Not Avail.,250000,Surigao del Norte                                 ,MALIMONO CLAY LOAM                                                                                                                                                                                                                                            ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1009,0,0,,
DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,Not Avail.,250000,Surigao del Norte                                 ,DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1020,0,0,,
DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,Not Avail.,250000,Surigao del Norte                                 ,DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1020,0,0,,
KABATOHAN LOAM                                                                                                                                                                                                                                                ,Not Avail.,250000,Surigao del Norte                                 ,KABATOHAN LOAM                                                                                                                                                                                                                                                ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1002,0,0,,
BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,Not Avail.,250000,Surigao del Norte                                 ,BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,154,0,0,,
BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,Not Avail.,250000,Surigao del Norte                                 ,BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,154,0,0,,
DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,Not Avail.,250000,Surigao del Norte                                 ,DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1020,0,0,,
KABATOHAN LOAM                                                                                                                                                                                                                                                ,Not Avail.,250000,Surigao del Norte                                 ,KABATOHAN LOAM                                                                                                                                                                                                                                                ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1002,0,0,,
BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,Not Avail.,250000,Surigao del Norte                                 ,BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,154,0,0,,
BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,Not Avail.,250000,Surigao del Norte                                 ,BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,154,0,0,,
KABATOHAN LOAM                                                                                                                                                                                                                                                ,Not Avail.,250000,Surigao del Norte                                 ,KABATOHAN LOAM                                                                                                                                                                                                                                                ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1002,0,0,,
DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,Not Avail.,250000,Surigao del Norte                                 ,DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1020,0,0,,
DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,Not Avail.,250000,Surigao del Norte                                 ,DINAGAT CLAY LOAM                                                                                                                                                                                                                                             ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1020,0,0,,
BOLINAO CLAY                                                                                                                                                                                                                                                  ,Not Avail.,250000,Surigao del Norte                                 ,BOLINAO CLAY                                                                                                                                                                                                                                                  ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,153,0,0,,
BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,Not Avail.,250000,Surigao del Norte                                 ,BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,154,0,0,,
KABATOHAN LOAM                                                                                                                                                                                                                                                ,Not Avail.,250000,Surigao del Norte                                 ,KABATOHAN LOAM                                                                                                                                                                                                                                                ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1002,0,0,,
ROCK LAND                                                                                                                                                                                                                                                     ,Not Avail.,250000,Surigao del Norte                                 ,ROCK LAND                                                                                                                                                                                                                                                     ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,599,0,0,,
BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,Not Avail.,250000,Surigao del Norte                                 ,BOLINAO CLAY STEEP PHASE                                                                                                                                                                                                                                      ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,154,0,0,,
BOLINAO CLAY                                                                                                                                                                                                                                                  ,Not Avail.,250000,Surigao del Norte                                 ,BOLINAO CLAY                                                                                                                                                                                                                                                  ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,153,0,0,,
BOLINAO CLAY                                                                                                                                                                                                                                                  ,Not Avail.,250000,Surigao del Norte                                 ,BOLINAO CLAY                                                                                                                                                                                                                                                  ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,153,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Not Avail.,250000,Surigao del Norte                                 ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,45,0,0,,
JAMOYAON CLAY LOAM                                                                                                                                                                                                                                            ,Not Avail.,250000,Surigao del Norte                                 ,JAMOYAON CLAY LOAM                                                                                                                                                                                                                                            ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1011,0,0,,
MALALAG SILT LOAM                                                                                                                                                                                                                                             ,Not Avail.,250000,Surigao del Norte                                 ,MALALAG SILT LOAM                                                                                                                                                                                                                                             ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,359,0,0,,
Not Avail.                                                                                                                                                                                                                                                    ,Not Avail.,250000,Surigao del Norte                                 ,Not Avail.                                                                                                                                                                                                                                                    ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,lake mainit    ,0,0,,
SAN MANUEL SANDY CLAY LOAM                                                                                                                                                                                                                                    ,Not Avail.,250000,Surigao del Norte                                 ,SAN MANUEL SANDY CLAY LOAM                                                                                                                                                                                                                                    ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,596,0,0,,
BOLINAO CLAY                                                                                                                                                                                                                                                  ,Not Avail.,250000,Surigao del Norte                                 ,BOLINAO CLAY                                                                                                                                                                                                                                                  ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,153,0,0,,
KITCHAROA CLAY LOAM                                                                                                                                                                                                                                           ,Not Avail.,250000,Surigao del Norte                                 ,KITCHAROA CLAY LOAM                                                                                                                                                                                                                                           ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,365,0,0,,
ANAO-OAN SILTY CLAY                                                                                                                                                                                                                                           ,Not Avail.,250000,Surigao del Norte                                 ,ANAO-OAN SILTY CLAY                                                                                                                                                                                                                                           ,SuriagoDelNorte_Soil_250thsnd_1                                                                                                                                                                                                                               ,SOIL                                              ,1012,0,0,,
