descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
BOLINAO CLAY                                                                                                                                                                                                                                                  ,1969,250000,Zamboanga del Norte                               ,BOLINAO CLAY                                                                                                                                                                                                                                                  ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,153,0,0,,
SAN MANUEL SILT LOAM                                                                                                                                                                                                                                          ,1969,250000,Zamboanga del Norte                               ,SAN MANUEL SILT LOAM                                                                                                                                                                                                                                          ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,82,0,0,,
SAN MANUEL SILT LOAM                                                                                                                                                                                                                                          ,1969,250000,Zamboanga del Norte                               ,SAN MANUEL SILT LOAM                                                                                                                                                                                                                                          ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,82,0,0,,
SAN MANUEL SILT LOAM                                                                                                                                                                                                                                          ,1969,250000,Zamboanga del Norte                               ,SAN MANUEL SILT LOAM                                                                                                                                                                                                                                          ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,82,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1969,250000,Zamboanga del Norte                               ,HYDROSOL                                                                                                                                                                                                                                                      ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,1,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1969,250000,Zamboanga del Norte                               ,HYDROSOL                                                                                                                                                                                                                                                      ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,1,0,0,,
SAN MANUEL SILT LOAM                                                                                                                                                                                                                                          ,1969,250000,Zamboanga del Norte                               ,SAN MANUEL SILT LOAM                                                                                                                                                                                                                                          ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,82,0,0,,
SAN MANUEL SILT LOAM                                                                                                                                                                                                                                          ,1969,250000,Zamboanga del Norte                               ,SAN MANUEL SILT LOAM                                                                                                                                                                                                                                          ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,82,0,0,,
SAN MANUEL SILT LOAM                                                                                                                                                                                                                                          ,1969,250000,Zamboanga del Norte                               ,SAN MANUEL SILT LOAM                                                                                                                                                                                                                                          ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,82,0,0,,
PANABOTAN SANDY LOAM                                                                                                                                                                                                                                          ,1969,250000,Zamboanga del Norte                               ,PANABOTAN SANDY LOAM                                                                                                                                                                                                                                          ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,1015,0,0,,
S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,1969,250000,Zamboanga del Norte                               ,S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,236,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,1969,250000,Zamboanga del Norte                               ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,45,0,0,,
LUISIANA CLAY                                                                                                                                                                                                                                                 ,1969,250000,Zamboanga del Norte                               ,LUISIANA CLAY                                                                                                                                                                                                                                                 ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,239,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,1969,250000,Zamboanga del Norte                               ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,45,0,0,,
